ID1 ID2 nb_sup2 sum_sup2 Sex1 State1 Region1 Sex2 State2 Region2
HG00956 HG00978 10 29.536 2 CDX EAS 2 CDX EAS
HG00978 HG00956 10 29.536 2 CDX EAS 2 CDX EAS
HG00982 HG03643 8 24.827 1 CDX EAS 2 STU SAS
HG01028 HG02382 6 17.738 1 CDX EAS 1 CDX EAS
HG01029 HG01046 6 20.39 2 CDX EAS 2 CDX EAS
HG01031 HG02397 10 27.042 1 CDX EAS 1 CDX EAS
HG01046 HG02397 12 32.382 2 CDX EAS 1 CDX EAS
HG01047 HG01054 15 50.005 1 PUR AMR 1 PUR AMR
HG01048 HG01070 16 57.716 1 PUR AMR 2 PUR AMR
HG01049 HG01067 20 65.033 2 PUR AMR 2 PUR AMR
HG01051 HG01110 16 52.877 1 PUR AMR 1 PUR AMR
HG01052 HG00551 17 55.887 2 PUR AMR 2 PUR AMR
HG01054 HG01060 18 72.07 1 PUR AMR 1 PUR AMR
HG01055 HG01197 23 74.674 2 PUR AMR 1 PUR AMR
HG01058 HG01302 16 54.878 2 PUR AMR 1 PUR AMR
HG01060 HG01072 23 77.212 1 PUR AMR 1 PUR AMR
HG01061 HG01070 36 118.166 2 PUR AMR 2 PUR AMR
HG01063 HG01190 11 36.68 1 PUR AMR 1 PUR AMR
HG01064 HG01069 24 87.787 2 PUR AMR 1 PUR AMR
HG01066 HG01073 16 62.1 1 PUR AMR 2 PUR AMR
HG01067 HG01069 20 86.848 2 PUR AMR 1 PUR AMR
HG01069 HG00641 26 92.691 1 PUR AMR 2 PUR AMR
HG01070 HG01061 36 118.166 2 PUR AMR 2 PUR AMR
HG01072 HG01060 23 77.212 1 PUR AMR 1 PUR AMR
HG01073 HG01197 28 80.281 2 PUR AMR 1 PUR AMR
HG01075 HG01392 10 31.692 1 PUR AMR 1 PUR AMR
HG01077 HG01170 13 38.555 2 PUR AMR 1 PUR AMR
HG01079 HG01170 22 68.098 1 PUR AMR 1 PUR AMR
HG01080 HG01101 18 66.487 2 PUR AMR 1 PUR AMR
HG01082 HG00551 16 56.623 1 PUR AMR 2 PUR AMR
HG01083 HG01170 37 132.112 2 PUR AMR 1 PUR AMR
HG01085 HG01111 10 29.455 1 PUR AMR 2 PUR AMR
HG01086 HG01167 16 52.57 2 PUR AMR 1 PUR AMR
HG01088 HG00732 14 40.556 1 PUR AMR 2 PUR AMR
