#ID nb_sup2 sum_sup2 mean_sup2 nb_sup8 sum_sup8 mean_sup8 nb_sup20 sum_sup20 mean_sup20 Sex State Region
LD2340 16 88.044 5.50275 3 31.413 10.471 0 0 0 Female Kerala South
LD1585 4 20.664 5.166 1 8.057 8.057 0 0 0 Female Karnataka South
LD0251 9 51.937 5.77078 1 14.71 14.71 0 0 0 Female Tamil_Nadu South
LD1814 4 17.065 4.26625 1 8.906 8.906 0 0 0 Female Uttar_Pradesh Central
LD0644 1 3.423 3.423 0 0 0 0 0 0 Male Kerala South
LD1290 1 2.269 2.269 0 0 0 0 0 0 Male Kerala South
LD1371 5 12.34 2.468 0 0 0 0 0 0 Female Uttar_Pradesh Central
LD1383 12 43.233 3.60275 1 11.204 11.204 0 0 0 Female Kerala South
LD1779 4 13.891 3.47275 0 0 0 0 0 0 Female Kerala South
LD2339 1 3.778 3.778 0 0 0 0 0 0 Male Rajasthan North
LD0432 4 11.684 2.921 0 0 0 0 0 0 Female Kerala South
LD1449 3 11.201 3.73367 0 0 0 0 0 0 Female Uttar_Pradesh Central
LD1896 10 41.2 4.12 1 12.863 12.863 0 0 0 Female Tamil_Nadu South
LD1109 8 29.874 3.73425 0 0 0 0 0 0 Female Tamil_Nadu South
LD0297 6 31.427 5.23783 2 16.681 8.3405 0 0 0 Male Delhi North
LD0508 32 122.751 3.83597 2 19.3 9.65 0 0 0 Female Karnataka South
LD1581 5 19.75 3.95 0 0 0 0 0 0 Female Kerala South
LD1641 6 17.649 2.9415 0 0 0 0 0 0 Female Kerala South
LD2508 15 58.996 3.93307 1 10.811 10.811 0 0 0 Female Tamil_Nadu South
LD0630 6 36.892 6.14867 2 23.251 11.6255 0 0 0 Female Rajasthan North
LD2453 15 60.028 4.00187 2 19.507 9.7535 0 0 0 Female Tamil_Nadu South
LD1682 12 63.742 5.31183 3 34.371 11.457 0 0 0 Male Kerala South
LD2211 14 52.63 3.75929 0 0 0 0 0 0 Female Tamil_Nadu South
LD1773 4 9.869 2.46725 0 0 0 0 0 0 Female Rajasthan North
LD1163 11 42.257 3.84155 0 0 0 0 0 0 Female Rajasthan North
LD1312 1 2.113 2.113 0 0 0 0 0 0 Male Haryana North
LD0122 48 320.356 6.67408 16 204.842 12.8026 2 43.695 21.8475 Male Tamil_Nadu South
LD1149 1 2.094 2.094 0 0 0 0 0 0 Male Uttar_Pradesh Central
LD0387 25 85.752 3.43008 1 15.96 15.96 0 0 0 Male Kerala South
LD0772 1 3.716 3.716 0 0 0 0 0 0 Female Kerala South
LD0421 7 37.726 5.38943 2 23.496 11.748 0 0 0 Female Rajasthan North
